epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.3258,2.28671,3.82639,1.88213,0.60878,0.12842,0.11359,0.05262,2.11443,2.7587,1.86974,0.000185006,0.000185006,0.000185006
2,137.322,2.00753,2.83867,1.6561,0.55427,0.15651,0.14609,0.06914,2.01061,2.64952,1.71772,0.000363007,0.000363007,0.000363007
3,202.558,1.9844,2.68813,1.65242,0.32545,0.20706,0.1543,0.0757,1.99938,2.45219,1.79269,0.000533668,0.000533668,0.000533668
4,266.822,1.9349,2.56501,1.62198,0.4141,0.23453,0.17303,0.08274,1.94634,2.62113,1.68549,0.000522974,0.000522974,0.000522974
5,331.211,1.92164,2.4445,1.59835,0.33229,0.22111,0.17631,0.07969,1.96815,2.3657,1.69649,0.000511965,0.000511965,0.000511965
6,395.091,1.89088,2.39182,1.58532,0.35143,0.23481,0.17947,0.09024,1.91107,2.33862,1.70896,0.000500956,0.000500956,0.000500956
7,459.261,1.88208,2.31421,1.57183,0.43105,0.24077,0.19868,0.09743,1.92258,2.32186,1.64459,0.000489947,0.000489947,0.000489947
8,522.476,1.86957,2.30044,1.56469,0.35487,0.24721,0.2084,0.10247,1.90823,2.23795,1.67823,0.000478938,0.000478938,0.000478938
9,588.432,1.83985,2.25868,1.55471,0.31043,0.25765,0.21669,0.10907,1.872,2.17699,1.6436,0.00046793,0.00046793,0.00046793
10,653.54,1.8497,2.23916,1.55242,0.35161,0.26623,0.21143,0.10498,1.86724,2.15301,1.62323,0.000456921,0.000456921,0.000456921
11,717.702,1.81527,2.17696,1.52522,0.27552,0.28217,0.22495,0.11291,1.85382,2.1514,1.62229,0.000445912,0.000445912,0.000445912
12,783.037,1.8263,2.186,1.53571,0.29816,0.27058,0.22787,0.11493,1.83842,2.1239,1.61906,0.000434903,0.000434903,0.000434903
13,846.769,1.80614,2.1396,1.522,0.33826,0.27518,0.22938,0.1139,1.82532,2.11918,1.62331,0.000423894,0.000423894,0.000423894
14,910.758,1.79113,2.1255,1.51475,0.29586,0.28654,0.23627,0.11748,1.82884,2.07518,1.60893,0.000412886,0.000412886,0.000412886
15,975.877,1.79448,2.10252,1.51164,0.37287,0.26156,0.22979,0.11242,1.88319,2.29234,1.64127,0.000401877,0.000401877,0.000401877
16,1040.19,1.7782,2.10026,1.50758,0.31258,0.30486,0.26107,0.12802,1.81948,2.02155,1.58736,0.000390868,0.000390868,0.000390868
17,1104.25,1.76346,2.06627,1.49318,0.34418,0.29237,0.26406,0.12586,1.82661,2.06194,1.58289,0.000379859,0.000379859,0.000379859
18,1167.85,1.76419,2.04018,1.49064,0.32865,0.30368,0.26405,0.13061,1.83192,2.04503,1.59637,0.00036885,0.00036885,0.00036885
19,1232.78,1.77245,2.05925,1.49684,0.3113,0.29645,0.25495,0.12718,1.82486,2.02007,1.5737,0.000357842,0.000357842,0.000357842
20,1298.07,1.74949,2.02454,1.48236,0.31495,0.30386,0.25334,0.1265,1.84022,2.05749,1.60971,0.000346833,0.000346833,0.000346833
21,1362.43,1.74595,2.01832,1.48589,0.30443,0.2976,0.25851,0.12986,1.79522,1.98108,1.57013,0.000335824,0.000335824,0.000335824
22,1427.67,1.74621,2.00653,1.47388,0.3379,0.31197,0.26625,0.13153,1.80457,1.9896,1.56536,0.000324815,0.000324815,0.000324815
23,1491.59,1.72577,1.97505,1.46005,0.35955,0.30104,0.26003,0.13147,1.81042,2.02606,1.61637,0.000313806,0.000313806,0.000313806
24,1555.61,1.7387,1.97146,1.47361,0.32821,0.32304,0.27073,0.13588,1.79524,1.9662,1.54681,0.000302798,0.000302798,0.000302798
25,1620.9,1.71431,1.9481,1.4547,0.33259,0.34498,0.2819,0.13771,1.79462,1.93941,1.558,0.000291789,0.000291789,0.000291789
26,1685.31,1.71782,1.94493,1.45571,0.32789,0.33146,0.27558,0.13403,1.80568,1.94956,1.5587,0.00028078,0.00028078,0.00028078
27,1748.81,1.71477,1.96518,1.45328,0.33165,0.35179,0.28095,0.14014,1.7847,1.93237,1.54844,0.000269771,0.000269771,0.000269771
28,1813.09,1.70284,1.92985,1.45132,0.31919,0.35175,0.28179,0.14086,1.75911,1.92478,1.54594,0.000258762,0.000258762,0.000258762
29,1876.83,1.69847,1.90654,1.44533,0.34426,0.34537,0.27665,0.13668,1.80089,1.94588,1.55601,0.000247754,0.000247754,0.000247754
30,1941.48,1.68517,1.8834,1.43074,0.34807,0.33329,0.28159,0.14025,1.80155,1.93254,1.56808,0.000236745,0.000236745,0.000236745
31,2005.42,1.70144,1.89392,1.44229,0.33615,0.33415,0.2779,0.1395,1.77776,1.90809,1.54706,0.000225736,0.000225736,0.000225736
32,2069.68,1.68323,1.88195,1.43396,0.35314,0.34814,0.28089,0.13942,1.78135,1.93496,1.57265,0.000214727,0.000214727,0.000214727
33,2133.2,1.68431,1.8605,1.42285,0.34522,0.35737,0.28432,0.1404,1.79247,1.8933,1.55519,0.000203718,0.000203718,0.000203718
34,2196.06,1.67136,1.85278,1.4289,0.37173,0.34451,0.28665,0.14246,1.7826,1.89978,1.5505,0.00019271,0.00019271,0.00019271
35,2259.78,1.67165,1.86174,1.42224,0.35529,0.33946,0.28988,0.14483,1.7819,1.8884,1.55365,0.000181701,0.000181701,0.000181701
