epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.055,2.87603,4.31046,2.27551,0.80866,0.03333,0.02145,0.00559,2.87568,3.5085,2.46208,0.000185006,0.000185006,0.000185006
2,136.531,2.55306,3.48752,2.03729,0.69573,0.09696,0.0537,0.01962,2.56627,3.04997,2.17362,0.000363007,0.000363007,0.000363007
3,199.734,2.48005,3.29139,1.99648,0.66922,0.1154,0.07112,0.02662,2.51789,2.97991,2.22412,0.000533668,0.000533668,0.000533668
4,263.719,2.42561,3.14689,1.95616,0.53994,0.12339,0.07861,0.02873,2.53397,3.06158,2.09822,0.000522974,0.000522974,0.000522974
5,328.73,2.39006,3.04535,1.92422,0.59299,0.09901,0.07668,0.02651,2.61006,2.97001,2.23199,0.000511965,0.000511965,0.000511965
6,392.127,2.36181,2.97839,1.90146,0.41374,0.13961,0.09104,0.03535,2.41493,2.81243,2.03712,0.000500956,0.000500956,0.000500956
7,455.564,2.33711,2.93338,1.89262,0.52783,0.09067,0.05762,0.0184,2.51446,3.07774,2.17681,0.000489947,0.000489947,0.000489947
8,518.398,2.31974,2.89306,1.87074,0.3924,0.13092,0.0864,0.03087,2.47937,2.83541,2.13904,0.000478938,0.000478938,0.000478938
9,582.224,2.29654,2.86098,1.86529,0.45353,0.13999,0.09274,0.03218,2.36761,2.81987,2.06808,0.00046793,0.00046793,0.00046793
10,647.471,2.28212,2.83953,1.84558,0.71258,0.11441,0.10559,0.04066,2.31125,2.6961,1.99416,0.000456921,0.000456921,0.000456921
11,711.253,2.23294,2.74279,1.80686,0.50973,0.17089,0.12265,0.04712,2.29665,2.63822,2.01833,0.000445912,0.000445912,0.000445912
12,775.661,2.26103,2.77344,1.83135,0.39887,0.1423,0.1094,0.03734,2.3885,2.75617,2.02206,0.000434903,0.000434903,0.000434903
13,840.705,2.2445,2.72366,1.81191,0.45779,0.14514,0.12325,0.04806,2.34228,2.62245,1.98265,0.000423894,0.000423894,0.000423894
14,905.751,2.23162,2.70682,1.80402,0.37544,0.15707,0.12689,0.05107,2.30997,2.65168,1.95995,0.000412886,0.000412886,0.000412886
15,971.767,2.22217,2.69389,1.80306,0.35888,0.15943,0.13291,0.05355,2.30605,2.66016,1.92828,0.000401877,0.000401877,0.000401877
16,1036.91,2.2119,2.68548,1.79884,0.44465,0.16542,0.11429,0.03984,2.33042,2.72569,2.03764,0.000390868,0.000390868,0.000390868
17,1100.27,2.19285,2.64892,1.78061,0.35223,0.15348,0.13368,0.05064,2.29368,2.65915,1.96541,0.000379859,0.000379859,0.000379859
18,1163.38,2.19235,2.64452,1.77386,0.32483,0.1717,0.12911,0.04951,2.29291,2.62434,1.96051,0.00036885,0.00036885,0.00036885
19,1227.42,2.19038,2.65032,1.78609,0.31854,0.16298,0.12479,0.04713,2.36521,2.67957,2.0521,0.000357842,0.000357842,0.000357842
