epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7016,3.06795,4.67696,2.40568,0.83044,0.01815,0.0159,0.00644,3.01628,3.68995,2.5019,0.000185006,0.000185006,0.000185006
2,139.233,2.87568,4.03352,2.22865,0.69988,0.02118,0.01888,0.00838,2.96334,3.57635,2.3757,0.000363007,0.000363007,0.000363007
3,203.438,2.81828,3.87993,2.21318,0.75119,0.02454,0.02004,0.00806,2.84459,3.65463,2.36412,0.000533668,0.000533668,0.000533668
4,266.985,2.75045,3.78686,2.17619,0.76348,0.02659,0.02494,0.01042,2.94937,3.48709,2.35889,0.000522974,0.000522974,0.000522974
5,329.216,2.73915,3.73261,2.16759,0.77563,0.02648,0.03258,0.01341,2.8872,3.41956,2.4297,0.000511965,0.000511965,0.000511965
6,393.26,2.67336,3.63018,2.12441,0.70334,0.03848,0.03461,0.01463,2.75762,3.31795,2.36331,0.000500956,0.000500956,0.000500956
7,457.029,2.64247,3.58549,2.11155,0.46338,0.03217,0.03564,0.0151,2.74704,3.41259,2.34556,0.000489947,0.000489947,0.000489947
8,520.257,2.59453,3.55469,2.09197,0.6001,0.03484,0.04291,0.0184,2.61678,3.26307,2.20358,0.000478938,0.000478938,0.000478938
9,583.09,2.57028,3.54133,2.08304,0.50787,0.04044,0.03946,0.01719,2.56073,3.16735,2.20209,0.00046793,0.00046793,0.00046793
10,648.238,2.53789,3.51831,2.07415,0.36362,0.04003,0.04587,0.01967,2.56586,3.20867,2.21848,0.000456921,0.000456921,0.000456921
11,712.303,2.52358,3.47027,2.04883,0.30787,0.03917,0.04067,0.01805,2.55597,3.1889,2.21483,0.000445912,0.000445912,0.000445912
12,777.812,2.52392,3.47244,2.05646,0.4997,0.04137,0.04197,0.01897,2.57009,3.33317,2.23305,0.000434903,0.000434903,0.000434903
13,841.297,2.49226,3.41521,2.03061,0.46257,0.04666,0.04347,0.01891,2.55726,3.21599,2.2335,0.000423894,0.000423894,0.000423894
