epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.0375,2.31427,3.86424,1.93018,0.67513,0.12835,0.11058,0.04963,2.13214,2.7918,1.96332,0.000185006,0.000185006,0.000185006
2,133.288,2.02314,2.85105,1.71999,0.54102,0.15307,0.14889,0.07324,2.02086,2.5669,1.83104,0.000363007,0.000363007,0.000363007
3,194.097,1.98812,2.69252,1.70945,0.31271,0.18946,0.14923,0.07368,1.94359,2.44139,1.79046,0.000533668,0.000533668,0.000533668
4,257.244,1.9555,2.58716,1.679,0.31294,0.23726,0.17213,0.08377,1.95866,2.48784,1.76995,0.000522974,0.000522974,0.000522974
5,321.326,1.93009,2.47018,1.65975,0.35685,0.20601,0.15986,0.07993,1.96698,2.37173,1.74136,0.000511965,0.000511965,0.000511965
6,385.191,1.90619,2.39966,1.62883,0.37705,0.23388,0.17217,0.087,1.89216,2.36776,1.75912,0.000500956,0.000500956,0.000500956
7,447.992,1.88209,2.33957,1.61115,0.35238,0.23737,0.18676,0.09257,1.91661,2.33755,1.73773,0.000489947,0.000489947,0.000489947
8,509.765,1.8734,2.31357,1.60695,0.32862,0.23169,0.19377,0.09639,1.89208,2.2701,1.71865,0.000478938,0.000478938,0.000478938
9,570.198,1.85486,2.26873,1.59462,0.32175,0.23775,0.20175,0.10205,1.87483,2.23495,1.72166,0.00046793,0.00046793,0.00046793
10,632.002,1.86061,2.25183,1.59531,0.27934,0.26405,0.21069,0.10235,1.87668,2.20772,1.71628,0.000456921,0.000456921,0.000456921
11,696.067,1.81334,2.19813,1.56583,0.30078,0.27179,0.22838,0.11173,1.84609,2.1423,1.69008,0.000445912,0.000445912,0.000445912
12,756.978,1.83381,2.19716,1.57573,0.32141,0.25336,0.21868,0.10892,1.86107,2.15123,1.69623,0.000434903,0.000434903,0.000434903
