epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.1245,3.15001,4.73039,2.44008,0.73401,0.00605,0.00515,0.00202,3.18415,3.67779,2.46544,0.000185006,0.000185006,0.000185006
2,138.171,2.986,4.17033,2.30275,0.00362,0.02298,0.00314,0.00103,3.51539,4.84152,3.0429,0.000363007,0.000363007,0.000363007
3,202.282,2.92867,4.00867,2.28225,0.67155,0.00871,0.00654,0.00253,3.27438,4.08086,2.56519,0.000533668,0.000533668,0.000533668
4,265.18,2.86814,3.90685,2.25334,0.72904,0.00865,0.01244,0.00478,2.97939,3.62263,2.44994,0.000522974,0.000522974,0.000522974
5,327.49,2.84154,3.86245,2.2261,0.67777,0.01994,0.01561,0.00572,2.93655,3.64376,2.50783,0.000511965,0.000511965,0.000511965
6,390.307,2.79273,3.79018,2.20219,0.81934,0.01569,0.01549,0.00549,2.85878,3.50888,2.38762,0.000500956,0.000500956,0.000500956
7,454.217,2.76696,3.74219,2.18479,0.66906,0.01074,0.01363,0.00556,2.79824,3.39616,2.35189,0.000489947,0.000489947,0.000489947
8,517.038,2.72079,3.72258,2.16216,0.81971,0.02763,0.02272,0.0081,2.79829,3.41319,2.35414,0.000478938,0.000478938,0.000478938
9,580.348,2.67697,3.70362,2.16432,0.88906,0.02486,0.02004,0.00767,2.76856,3.4673,2.38951,0.00046793,0.00046793,0.00046793
10,643.604,2.64519,3.6876,2.14523,0.67782,0.02521,0.02534,0.00844,2.75074,3.40446,2.35986,0.000456921,0.000456921,0.000456921
11,707.704,2.62757,3.65715,2.1307,0.89354,0.02728,0.02283,0.00942,2.67771,3.32087,2.30324,0.000445912,0.000445912,0.000445912
12,773.508,2.64171,3.65082,2.14403,0.89298,0.02312,0.02218,0.00861,2.64116,3.36033,2.33289,0.000434903,0.000434903,0.000434903
13,838.815,2.60064,3.59911,2.1089,0.89225,0.03079,0.02419,0.0094,2.65718,3.34175,2.31846,0.000423894,0.000423894,0.000423894
14,903.472,2.59296,3.61432,2.12836,0.89374,0.02592,0.02256,0.0085,2.61112,3.28975,2.26991,0.000412886,0.000412886,0.000412886
15,967.583,2.58075,3.58024,2.10618,0.83871,0.03055,0.02681,0.01054,2.60962,3.26115,2.26685,0.000401877,0.000401877,0.000401877
16,1032.77,2.56229,3.57691,2.09778,0.7534,0.03077,0.02504,0.00965,2.59202,3.2717,2.23884,0.000390868,0.000390868,0.000390868
17,1097.05,2.55128,3.56033,2.09286,0.90366,0.03066,0.02698,0.01045,2.59351,3.28553,2.28811,0.000379859,0.000379859,0.000379859
18,1161.71,2.53492,3.54337,2.0956,0.82296,0.03182,0.02667,0.0106,2.5764,3.26188,2.27498,0.00036885,0.00036885,0.00036885
19,1227.11,2.54515,3.55781,2.10115,0.89534,0.02824,0.02681,0.01009,2.57389,3.23969,2.25735,0.000357842,0.000357842,0.000357842
20,1291.51,2.53665,3.55284,2.08931,0.76865,0.03485,0.02564,0.01048,2.56993,3.26869,2.24302,0.000346833,0.000346833,0.000346833
21,1355.66,2.53464,3.54757,2.09035,0.89512,0.03577,0.02814,0.0112,2.56354,3.20916,2.23543,0.000335824,0.000335824,0.000335824
22,1420.67,2.5319,3.52438,2.08176,0.8921,0.03561,0.02667,0.01083,2.55326,3.27322,2.25117,0.000324815,0.000324815,0.000324815
23,1484.55,2.51215,3.50954,2.0762,0.75083,0.03854,0.02901,0.01124,2.54476,3.21474,2.2465,0.000313806,0.000313806,0.000313806
24,1549.56,2.51455,3.4903,2.07565,0.68675,0.03836,0.02975,0.01224,2.56594,3.19047,2.23445,0.000302798,0.000302798,0.000302798
25,1613.79,2.49114,3.48113,2.06107,0.7888,0.03649,0.03194,0.01214,2.55233,3.23894,2.20721,0.000291789,0.000291789,0.000291789
26,1678.4,2.48839,3.48121,2.0564,0.82785,0.03832,0.03267,0.01294,2.516,3.18875,2.21323,0.00028078,0.00028078,0.00028078
27,1742.99,2.48446,3.49751,2.05601,0.8927,0.04088,0.03357,0.013,2.52914,3.17154,2.21516,0.000269771,0.000269771,0.000269771
28,1807.55,2.49011,3.46415,2.0573,0.82438,0.03835,0.02786,0.01084,2.54691,3.26007,2.22966,0.000258762,0.000258762,0.000258762
29,1870.97,2.47629,3.4406,2.05206,0.68591,0.04416,0.03396,0.01347,2.50894,3.13676,2.19427,0.000247754,0.000247754,0.000247754
30,1935.62,2.47305,3.42927,2.04394,0.83981,0.04327,0.038,0.01511,2.51553,3.17426,2.19596,0.000236745,0.000236745,0.000236745
31,1999.71,2.47087,3.42016,2.05072,0.75306,0.04196,0.03535,0.01397,2.52023,3.1665,2.23674,0.000225736,0.000225736,0.000225736
32,2063.89,2.4558,3.42108,2.04039,0.53951,0.04473,0.03573,0.01414,2.51471,3.13186,2.22894,0.000214727,0.000214727,0.000214727
33,2128.36,2.46733,3.38764,2.03543,0.71984,0.04693,0.03541,0.01446,2.51062,3.1582,2.19604,0.000203718,0.000203718,0.000203718
34,2192.6,2.45729,3.41424,2.02908,0.66808,0.04681,0.03391,0.01419,2.51569,3.1597,2.19636,0.00019271,0.00019271,0.00019271
35,2256.4,2.44589,3.38955,2.01204,0.60874,0.0468,0.03768,0.01515,2.50185,3.12218,2.18211,0.000181701,0.000181701,0.000181701
36,2318.81,2.44789,3.39566,2.02394,0.74524,0.03729,0.03289,0.01326,2.51658,3.15091,2.18704,0.000170692,0.000170692,0.000170692
37,2383.56,2.44476,3.38789,2.019,0.58613,0.0461,0.03839,0.0151,2.51345,3.15283,2.19436,0.000159683,0.000159683,0.000159683
