epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.6705,2.31747,3.88438,1.93632,0.70298,0.10828,0.11082,0.05281,2.13745,2.7712,1.89188,0.000185006,0.000185006,0.000185006
2,138.739,2.0235,2.86068,1.69962,0.42662,0.17473,0.14724,0.07224,2.01071,2.43021,1.771,0.000363007,0.000363007,0.000363007
3,202.704,1.98613,2.70174,1.68758,0.3762,0.18559,0.1547,0.07571,1.96547,2.43354,1.77634,0.000533668,0.000533668,0.000533668
4,266.062,1.95099,2.59018,1.66415,0.30429,0.20811,0.15797,0.07962,1.95088,2.47791,1.7498,0.000522974,0.000522974,0.000522974
5,329.863,1.92932,2.47856,1.6492,0.32258,0.23146,0.16917,0.08238,1.98181,2.48024,1.76423,0.000511965,0.000511965,0.000511965
6,392.647,1.90409,2.39911,1.62205,0.32685,0.22134,0.17516,0.08686,1.93223,2.36454,1.75656,0.000500956,0.000500956,0.000500956
7,455.448,1.88577,2.32777,1.60939,0.32702,0.2183,0.18451,0.08927,1.89722,2.32412,1.70606,0.000489947,0.000489947,0.000489947
8,519.418,1.86817,2.30536,1.59778,0.37601,0.22254,0.19309,0.09674,1.91237,2.32886,1.71159,0.000478938,0.000478938,0.000478938
9,581.622,1.84973,2.27498,1.58644,0.25608,0.26215,0.2125,0.10197,1.88627,2.19921,1.70334,0.00046793,0.00046793,0.00046793
10,645.151,1.85386,2.2472,1.57833,0.23057,0.28126,0.207,0.1021,1.84723,2.26177,1.6779,0.000456921,0.000456921,0.000456921
11,710.03,1.81302,2.18661,1.55258,0.26725,0.25029,0.21591,0.10968,1.86033,2.15225,1.68622,0.000445912,0.000445912,0.000445912
12,772.947,1.83005,2.19697,1.57029,0.28167,0.27879,0.21737,0.11269,1.84394,2.14415,1.69757,0.000434903,0.000434903,0.000434903
13,836.803,1.81107,2.143,1.55023,0.37328,0.27379,0.23281,0.11573,1.86083,2.11484,1.67999,0.000423894,0.000423894,0.000423894
14,901.962,1.8042,2.1328,1.54601,0.30556,0.27818,0.22904,0.11263,1.84586,2.12008,1.65023,0.000412886,0.000412886,0.000412886
15,967.824,1.79807,2.11755,1.53469,0.34272,0.27197,0.22939,0.11361,1.86918,2.14551,1.67667,0.000401877,0.000401877,0.000401877
16,1030.27,1.78828,2.11487,1.53303,0.30651,0.28253,0.23418,0.11594,1.83479,2.05914,1.64042,0.000390868,0.000390868,0.000390868
17,1095.4,1.76786,2.0737,1.51992,0.3603,0.27178,0.24112,0.11835,1.84346,2.16549,1.66634,0.000379859,0.000379859,0.000379859
18,1158,1.77239,2.05422,1.52073,0.30146,0.30569,0.24274,0.1224,1.84281,2.09263,1.64555,0.00036885,0.00036885,0.00036885
19,1221.29,1.7749,2.07119,1.51698,0.31942,0.29371,0.24881,0.12299,1.80942,2.03266,1.61986,0.000357842,0.000357842,0.000357842
20,1284.21,1.74714,2.03004,1.51377,0.27467,0.30182,0.2354,0.11889,1.82757,2.03839,1.64704,0.000346833,0.000346833,0.000346833
