epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5114,2.32039,3.84867,1.92693,0.46323,0.14573,0.1193,0.05965,2.10747,2.7283,1.89481,0.000185006,0.000185006,0.000185006
2,137.486,2.03281,2.87679,1.71838,0.56872,0.14333,0.13852,0.06622,2.03408,2.49922,1.84873,0.000363007,0.000363007,0.000363007
3,202.778,2.00163,2.71749,1.70124,0.4079,0.17136,0.14845,0.07344,1.97498,2.49967,1.75964,0.000533668,0.000533668,0.000533668
4,267.496,1.95837,2.59683,1.67622,0.4405,0.1994,0.1659,0.08155,1.95692,2.50574,1.79623,0.000522974,0.000522974,0.000522974
5,334.658,1.94735,2.48555,1.6594,0.41575,0.21463,0.1761,0.0862,1.96611,2.41409,1.79107,0.000511965,0.000511965,0.000511965
6,398.117,1.91397,2.41466,1.63276,0.36715,0.24243,0.18197,0.09278,1.8734,2.36735,1.731,0.000500956,0.000500956,0.000500956
7,461.808,1.9037,2.34558,1.61671,0.31703,0.21901,0.17602,0.08979,1.91681,2.3266,1.71321,0.000489947,0.000489947,0.000489947
8,526.535,1.87963,2.31665,1.6001,0.40345,0.22176,0.19127,0.09617,1.91978,2.25497,1.72671,0.000478938,0.000478938,0.000478938
9,590.381,1.87013,2.29144,1.59713,0.25536,0.25265,0.21323,0.10256,1.90936,2.18199,1.72632,0.00046793,0.00046793,0.00046793
10,656.809,1.87425,2.27343,1.59288,0.35057,0.26144,0.21101,0.1029,1.89074,2.18898,1.69549,0.000456921,0.000456921,0.000456921
11,722.723,1.82902,2.20979,1.56881,0.31599,0.25297,0.22257,0.10794,1.86364,2.14434,1.67785,0.000445912,0.000445912,0.000445912
12,785.589,1.84505,2.20568,1.57663,0.30558,0.26605,0.2251,0.11157,1.83934,2.12581,1.67855,0.000434903,0.000434903,0.000434903
13,850.801,1.82584,2.17496,1.56692,0.33921,0.27724,0.23496,0.1167,1.84392,2.12604,1.67584,0.000423894,0.000423894,0.000423894
14,915.278,1.80771,2.15051,1.55648,0.30529,0.26951,0.23035,0.11379,1.86268,2.12713,1.6612,0.000412886,0.000412886,0.000412886
15,979.078,1.80912,2.12638,1.54863,0.31267,0.27359,0.23845,0.11856,1.83762,2.13787,1.65364,0.000401877,0.000401877,0.000401877
16,1043.67,1.79895,2.13183,1.54891,0.28824,0.28049,0.24098,0.12198,1.8062,2.0272,1.63015,0.000390868,0.000390868,0.000390868
17,1108.18,1.78177,2.09255,1.53375,0.30653,0.2824,0.24388,0.11884,1.82843,2.0531,1.64198,0.000379859,0.000379859,0.000379859
18,1172.31,1.7754,2.0837,1.5346,0.29822,0.27668,0.24957,0.12287,1.82688,2.1026,1.63148,0.00036885,0.00036885,0.00036885
19,1236.17,1.78562,2.08693,1.5347,0.30766,0.2915,0.24936,0.12139,1.81214,2.03553,1.62258,0.000357842,0.000357842,0.000357842
20,1301.37,1.77158,2.05862,1.52902,0.33266,0.29158,0.24924,0.12554,1.80869,2.04862,1.63811,0.000346833,0.000346833,0.000346833
21,1366.71,1.76877,2.05034,1.53191,0.30711,0.29426,0.24749,0.12538,1.79528,2.0362,1.63135,0.000335824,0.000335824,0.000335824
22,1432.28,1.76573,2.03878,1.51813,0.31384,0.29471,0.25201,0.12377,1.79976,2.02035,1.62511,0.000324815,0.000324815,0.000324815
23,1497.37,1.74879,2.00938,1.50577,0.29704,0.32875,0.25369,0.12582,1.80295,1.9918,1.62833,0.000313806,0.000313806,0.000313806
24,1562.76,1.75652,2.00691,1.51669,0.28995,0.29711,0.24896,0.12441,1.80041,2.02317,1.62123,0.000302798,0.000302798,0.000302798
25,1627.73,1.73428,1.98343,1.49987,0.33123,0.31133,0.26027,0.12888,1.80827,1.95864,1.62146,0.000291789,0.000291789,0.000291789
26,1692.34,1.73769,1.9902,1.50067,0.32483,0.31813,0.27046,0.1342,1.81243,1.96625,1.61707,0.00028078,0.00028078,0.00028078
27,1757.64,1.74432,2.00352,1.49812,0.33931,0.3308,0.28289,0.14034,1.79295,1.94936,1.60079,0.000269771,0.000269771,0.000269771
28,1823.48,1.72182,1.96163,1.49184,0.32598,0.33029,0.27894,0.1356,1.80025,1.95368,1.61496,0.000258762,0.000258762,0.000258762
29,1889.59,1.7216,1.95522,1.49283,0.31689,0.32097,0.26656,0.13305,1.79969,1.94427,1.61939,0.000247754,0.000247754,0.000247754
30,1954.45,1.71099,1.91846,1.4817,0.30964,0.34331,0.27495,0.13552,1.78708,1.92003,1.60848,0.000236745,0.000236745,0.000236745
31,2019.33,1.72141,1.93602,1.48967,0.31865,0.32666,0.27186,0.13489,1.78295,1.9061,1.60634,0.000225736,0.000225736,0.000225736
32,2085.33,1.69981,1.92091,1.47188,0.33649,0.32919,0.27665,0.13767,1.79126,1.92561,1.61042,0.000214727,0.000214727,0.000214727
33,2148.95,1.70308,1.89004,1.4677,0.34363,0.33995,0.27746,0.14021,1.79198,1.89799,1.59965,0.000203718,0.000203718,0.000203718
34,2212.72,1.69996,1.89992,1.47638,0.33554,0.33369,0.27704,0.13958,1.79553,1.92611,1.59788,0.00019271,0.00019271,0.00019271
35,2275.7,1.69644,1.89553,1.46449,0.37839,0.32982,0.29159,0.14594,1.78563,1.91225,1.59874,0.000181701,0.000181701,0.000181701
36,2340.2,1.69128,1.89088,1.46612,0.33753,0.33283,0.28018,0.14018,1.79563,1.89947,1.58457,0.000170692,0.000170692,0.000170692
37,2404.58,1.68198,1.87149,1.45712,0.34237,0.35634,0.28864,0.14278,1.77977,1.90472,1.58849,0.000159683,0.000159683,0.000159683
38,2469.69,1.67293,1.85103,1.45673,0.35478,0.34031,0.28725,0.14305,1.77619,1.90701,1.57987,0.000148674,0.000148674,0.000148674
39,2533.77,1.67199,1.84752,1.45167,0.33488,0.35044,0.28618,0.1416,1.77516,1.86642,1.58676,0.000137666,0.000137666,0.000137666
40,2597.84,1.66949,1.85043,1.46425,0.33814,0.35778,0.28107,0.14083,1.77518,1.88521,1.58663,0.000126657,0.000126657,0.000126657
41,2665.75,1.67197,1.83044,1.51787,0.33119,0.34289,0.28458,0.14249,1.78387,1.87479,1.58435,0.000115648,0.000115648,0.000115648
42,2730.97,1.65421,1.79579,1.51843,0.35387,0.34961,0.29107,0.145,1.77697,1.86605,1.59061,0.000104639,0.000104639,0.000104639
43,2796.01,1.65359,1.78014,1.51862,0.34742,0.36213,0.29184,0.14683,1.77213,1.8559,1.58046,9.36304e-05,9.36304e-05,9.36304e-05
44,2859.87,1.64956,1.77,1.51065,0.35873,0.35301,0.2996,0.14909,1.77824,1.84786,1.589,8.26216e-05,8.26216e-05,8.26216e-05
45,2924.39,1.63513,1.75504,1.50647,0.3655,0.3706,0.29493,0.14694,1.77304,1.85265,1.58513,7.16128e-05,7.16128e-05,7.16128e-05
46,2988.34,1.6403,1.74971,1.50785,0.33481,0.37163,0.29362,0.14699,1.78021,1.85905,1.59943,6.0604e-05,6.0604e-05,6.0604e-05
47,3054.77,1.6251,1.74051,1.50238,0.35226,0.35419,0.29459,0.14707,1.77403,1.8536,1.58954,4.95952e-05,4.95952e-05,4.95952e-05
48,3119.46,1.62193,1.72739,1.49677,0.37254,0.36122,0.29938,0.15022,1.77596,1.84055,1.58833,3.85864e-05,3.85864e-05,3.85864e-05
49,3184.94,1.61957,1.72313,1.49447,0.3663,0.3666,0.30088,0.15006,1.7826,1.84213,1.59146,2.75776e-05,2.75776e-05,2.75776e-05
50,3249.31,1.6124,1.70256,1.4816,0.36807,0.37129,0.30446,0.1516,1.77838,1.84291,1.58729,1.65688e-05,1.65688e-05,1.65688e-05
