epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7138,2.30045,3.85736,1.91538,0.36837,0.1343,0.11478,0.05854,2.05645,2.68974,1.85584,0.000185006,0.000185006,0.000185006
2,140.397,2.02553,2.84202,1.68795,0.45252,0.16972,0.14849,0.06951,2.02565,2.55207,1.81214,0.000363007,0.000363007,0.000363007
3,206.207,1.98659,2.68135,1.6849,0.43531,0.19182,0.1727,0.08463,1.95449,2.42539,1.78994,0.000533668,0.000533668,0.000533668
4,272.394,1.94153,2.56719,1.66421,0.35828,0.25378,0.18008,0.08697,1.93325,2.51744,1.75964,0.000522974,0.000522974,0.000522974
5,336.724,1.92749,2.45689,1.64287,0.40807,0.23213,0.1931,0.09494,1.93225,2.32452,1.73661,0.000511965,0.000511965,0.000511965
6,400.736,1.89681,2.37909,1.61536,0.30747,0.26088,0.18825,0.09579,1.8843,2.44412,1.74716,0.000500956,0.000500956,0.000500956
7,463.863,1.87789,2.31438,1.59833,0.31803,0.21366,0.17981,0.08787,1.89977,2.3151,1.68801,0.000489947,0.000489947,0.000489947
8,527.637,1.8666,2.29368,1.58875,0.31436,0.24188,0.20703,0.103,1.91206,2.2759,1.71198,0.000478938,0.000478938,0.000478938
9,591.946,1.83811,2.25118,1.57868,0.32879,0.23031,0.1838,0.09033,1.92074,2.35726,1.75165,0.00046793,0.00046793,0.00046793
10,655.912,1.84304,2.23183,1.58072,0.28341,0.27079,0.23361,0.11601,1.88432,2.12188,1.68768,0.000456921,0.000456921,0.000456921
11,719.643,1.81477,2.17653,1.55426,0.32946,0.26414,0.2304,0.11817,1.85379,2.12256,1.67976,0.000445912,0.000445912,0.000445912
12,784.691,1.82823,2.17617,1.56644,0.30117,0.26412,0.23704,0.12061,1.83452,2.09323,1.65944,0.000434903,0.000434903,0.000434903
13,850.549,1.80684,2.12876,1.54447,0.35052,0.30024,0.24782,0.12594,1.82933,2.09413,1.64492,0.000423894,0.000423894,0.000423894
14,914.399,1.79254,2.11247,1.54208,0.31672,0.28798,0.24365,0.125,1.8315,2.08049,1.66398,0.000412886,0.000412886,0.000412886
15,979.343,1.78443,2.09094,1.53692,0.30207,0.2836,0.2499,0.12658,1.83321,2.08346,1.66436,0.000401877,0.000401877,0.000401877
16,1043.84,1.77864,2.09634,1.53097,0.3212,0.28048,0.24819,0.12356,1.81977,2.04297,1.60925,0.000390868,0.000390868,0.000390868
17,1109.48,1.76307,2.0589,1.52062,0.34358,0.30156,0.2534,0.12877,1.82407,2.08438,1.63648,0.000379859,0.000379859,0.000379859
