epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.748,2.02853,7.64943,2.01083,0.29956,0.05723,0.05075,0.02094,1.99899,3.07581,2.11074,0.000128248,0.000128248,0.000128248
2,446.098,1.7943,4.4436,1.8333,0.32014,0.08738,0.07112,0.03417,1.83147,2.65176,1.93728,0.000251501,0.000251501,0.000251501
3,657.105,1.79314,3.67555,1.83956,0.36138,0.08929,0.07803,0.03711,1.81938,2.64759,1.99383,0.000369672,0.000369672,0.000369672
4,868.11,1.75333,3.21186,1.81272,0.30409,0.11329,0.08703,0.04159,1.75936,2.529,1.93342,0.000362131,0.000362131,0.000362131
5,1078.1,1.71549,3.01489,1.77085,0.45426,0.14161,0.09992,0.04654,1.78238,2.48485,1.91267,0.000354508,0.000354508,0.000354508
6,1287.7,1.71441,2.8341,1.77467,0.3157,0.13468,0.09907,0.04747,1.7351,2.46431,1.91194,0.000346885,0.000346885,0.000346885
7,1496.84,1.68903,2.79947,1.75001,0.36682,0.13555,0.10872,0.05162,1.72634,2.33152,1.8903,0.000339262,0.000339262,0.000339262
8,1704.45,1.65701,2.66384,1.7349,0.41546,0.14931,0.11411,0.0536,1.71171,2.33711,1.87591,0.000331639,0.000331639,0.000331639
9,1910.55,1.66124,2.53977,1.72162,0.48383,0.13404,0.11653,0.05505,1.72212,2.33715,1.86878,0.000324016,0.000324016,0.000324016
10,2117.75,1.64991,2.54551,1.71697,0.35297,0.17535,0.13572,0.06155,1.71122,2.20106,1.84985,0.000316393,0.000316393,0.000316393
11,2325.86,1.63488,2.43982,1.70637,0.37983,0.18109,0.13629,0.06355,1.66761,2.17558,1.84002,0.00030877,0.00030877,0.00030877
12,2532.13,1.61804,2.45994,1.68638,0.39386,0.16489,0.13825,0.06491,1.69817,2.25025,1.81614,0.000301147,0.000301147,0.000301147
13,2738.57,1.605,2.42919,1.67848,0.34078,0.17796,0.14287,0.06538,1.69559,2.24289,1.86515,0.000293524,0.000293524,0.000293524
14,2942.12,1.60985,2.43162,1.69376,0.41422,0.18073,0.15268,0.07053,1.67507,2.1589,1.8351,0.000285901,0.000285901,0.000285901
15,3145.64,1.60175,2.37251,1.67253,0.424,0.18042,0.14957,0.06925,1.661,2.14353,1.82269,0.000278278,0.000278278,0.000278278
16,3347.89,1.59315,2.32652,1.66933,0.38307,0.20528,0.1546,0.07243,1.65711,2.10989,1.83345,0.000270655,0.000270655,0.000270655
17,3552.39,1.58498,2.32555,1.64447,0.39215,0.1877,0.15073,0.06999,1.6562,2.14671,1.80057,0.000263032,0.000263032,0.000263032
18,3756.05,1.58383,2.28035,1.65866,0.39496,0.1923,0.16035,0.07496,1.65052,2.12366,1.80343,0.000255409,0.000255409,0.000255409
19,3958.9,1.57605,2.26339,1.65613,0.4115,0.19533,0.16915,0.07948,1.65832,2.11922,1.80675,0.000247786,0.000247786,0.000247786
20,4162.89,1.56017,2.2469,1.63504,0.37708,0.21053,0.16822,0.0796,1.63947,2.04855,1.77322,0.000240163,0.000240163,0.000240163
21,4367.35,1.55272,2.21105,1.62818,0.39382,0.20353,0.16737,0.07792,1.63937,2.07006,1.77203,0.00023254,0.00023254,0.00023254
22,4570.63,1.56565,2.21102,1.64426,0.4425,0.20585,0.17704,0.08138,1.64089,2.03201,1.77157,0.000224917,0.000224917,0.000224917
23,4775.15,1.54917,2.18568,1.6277,0.39782,0.21493,0.17371,0.08252,1.63426,2.00696,1.78519,0.000217294,0.000217294,0.000217294
24,4976.78,1.54456,2.1623,1.61912,0.41825,0.21747,0.18325,0.08627,1.6393,2.05729,1.78861,0.000209671,0.000209671,0.000209671
25,5178.76,1.53731,2.1245,1.61664,0.42644,0.21266,0.17522,0.08215,1.63307,2.00998,1.75757,0.000202048,0.000202048,0.000202048
26,5380.1,1.53936,2.12952,1.60827,0.41188,0.20974,0.18446,0.08716,1.61631,1.99484,1.76165,0.000194425,0.000194425,0.000194425
27,5582.75,1.52611,2.12257,1.60622,0.39151,0.21616,0.1858,0.0872,1.6256,1.99709,1.77536,0.000186802,0.000186802,0.000186802
28,5786.53,1.53291,2.10414,1.60689,0.39716,0.22186,0.18709,0.08849,1.62028,1.98436,1.76621,0.000179179,0.000179179,0.000179179
29,5989.28,1.52761,2.09371,1.5972,0.42694,0.21696,0.18976,0.09012,1.62544,1.98771,1.76398,0.000171556,0.000171556,0.000171556
30,6193.39,1.52376,2.09845,1.59895,0.39273,0.21109,0.1928,0.09163,1.62033,1.97084,1.75737,0.000163933,0.000163933,0.000163933
31,6396.74,1.51993,2.08158,1.58425,0.48675,0.21578,0.19544,0.09316,1.62201,1.96982,1.75788,0.00015631,0.00015631,0.00015631
32,6599.45,1.51254,2.06727,1.58763,0.44763,0.22988,0.19539,0.09223,1.60864,1.94485,1.75071,0.000148687,0.000148687,0.000148687
33,6801.49,1.49752,2.04785,1.57336,0.39567,0.22533,0.19583,0.09248,1.62026,1.96874,1.75956,0.000141064,0.000141064,0.000141064
34,7004.14,1.50442,2.04271,1.58681,0.45006,0.21898,0.20006,0.09289,1.62007,1.94459,1.75624,0.000133441,0.000133441,0.000133441
35,7205.66,1.49269,2.02684,1.58302,0.43947,0.22685,0.19929,0.09341,1.60845,1.94398,1.74916,0.000125818,0.000125818,0.000125818
36,7409.06,1.483,1.97959,1.57457,0.45555,0.22633,0.20665,0.09653,1.60968,1.92383,1.74596,0.000118195,0.000118195,0.000118195
37,7609.87,1.48716,1.97445,1.56691,0.44893,0.23267,0.20375,0.09658,1.60885,1.93397,1.75154,0.000110572,0.000110572,0.000110572
38,7812.31,1.47986,1.96273,1.56234,0.45323,0.23475,0.20485,0.096,1.60991,1.92273,1.746,0.000102949,0.000102949,0.000102949
39,8012.74,1.48793,1.93568,1.5614,0.45144,0.22564,0.20603,0.09761,1.6144,1.92756,1.74702,9.5326e-05,9.5326e-05,9.5326e-05
40,8214.43,1.47349,1.9618,1.56069,0.45277,0.23641,0.20451,0.0966,1.61396,1.93528,1.75055,8.7703e-05,8.7703e-05,8.7703e-05
41,8407.62,1.40355,1.90093,1.54506,0.45734,0.23498,0.20796,0.09885,1.61227,1.95956,1.74699,8.008e-05,8.008e-05,8.008e-05
42,8597.51,1.39255,1.84383,1.521,0.45754,0.23398,0.2041,0.0976,1.61119,1.95434,1.74889,7.2457e-05,7.2457e-05,7.2457e-05
43,8803.24,1.38569,1.79777,1.53002,0.45712,0.2387,0.21078,0.10027,1.61386,1.95347,1.75638,6.4834e-05,6.4834e-05,6.4834e-05
44,9005.29,1.39608,1.81769,1.54257,0.45933,0.23952,0.21467,0.10235,1.60731,1.93122,1.74327,5.7211e-05,5.7211e-05,5.7211e-05
45,9196.32,1.36514,1.77118,1.50403,0.46899,0.23729,0.21157,0.10119,1.61259,1.93411,1.75118,4.9588e-05,4.9588e-05,4.9588e-05
46,9387.41,1.37995,1.75244,1.52101,0.46957,0.24111,0.21754,0.10334,1.60846,1.92554,1.74728,4.1965e-05,4.1965e-05,4.1965e-05
47,9577.1,1.36053,1.72516,1.4996,0.46296,0.25071,0.2153,0.10246,1.60823,1.92749,1.74391,3.4342e-05,3.4342e-05,3.4342e-05
48,9772.02,1.35938,1.7141,1.49804,0.46542,0.24657,0.21311,0.10106,1.6142,1.93939,1.75322,2.6719e-05,2.6719e-05,2.6719e-05
