epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,225.318,1.94761,7.02268,2.04027,0.32026,0.04588,0.04098,0.01745,1.89356,3.11606,2.11816,0.000128248,0.000128248,0.000128248
2,438.968,1.71375,4.22964,1.87794,0.30496,0.08317,0.06719,0.03088,1.76663,2.66921,2.06446,0.000251501,0.000251501,0.000251501
3,652.578,1.69934,3.53463,1.867,0.42496,0.10788,0.08191,0.0374,1.77651,2.58778,2.03513,0.000369672,0.000369672,0.000369672
4,863.966,1.6783,3.16633,1.84642,0.4425,0.10963,0.08589,0.04076,1.74461,3.08619,2.0295,0.000362131,0.000362131,0.000362131
5,1076.05,1.64578,3.06729,1.81864,0.41283,0.12265,0.10172,0.04731,1.71398,2.50004,1.98869,0.000354508,0.000354508,0.000354508
6,1289.13,1.63998,2.87751,1.83081,0.40737,0.13855,0.10605,0.05006,1.70807,2.41689,2.02256,0.000346885,0.000346885,0.000346885
7,1500.35,1.60697,2.86904,1.78706,0.4538,0.15245,0.10631,0.05065,1.65051,2.48286,1.95002,0.000339262,0.000339262,0.000339262
8,1715.43,1.58616,2.73896,1.77169,0.4002,0.14052,0.11095,0.05155,1.71607,2.48661,2.00242,0.000331639,0.000331639,0.000331639
9,1927.08,1.57883,2.61814,1.76906,0.42936,0.14116,0.11345,0.0536,1.63477,2.30836,1.91442,0.000324016,0.000324016,0.000324016
10,2135.27,1.57479,2.58982,1.75731,0.40164,0.14591,0.11745,0.05442,1.6748,2.36761,1.96948,0.000316393,0.000316393,0.000316393
11,2346.2,1.56699,2.54154,1.75344,0.32913,0.15832,0.13113,0.06155,1.65149,2.27453,1.94315,0.00030877,0.00030877,0.00030877
12,2554.84,1.55432,2.49146,1.7448,0.34262,0.16538,0.1354,0.06245,1.65052,2.2544,1.9422,0.000301147,0.000301147,0.000301147
13,2764.31,1.53523,2.51639,1.7246,0.38318,0.16619,0.14049,0.06629,1.6326,2.2655,1.927,0.000293524,0.000293524,0.000293524
14,2973.05,1.54024,2.46681,1.74185,0.40383,0.17948,0.1408,0.06752,1.62295,2.23598,1.90918,0.000285901,0.000285901,0.000285901
15,3182.71,1.52505,2.45486,1.71125,0.42995,0.18333,0.14144,0.06729,1.61684,2.18134,1.89441,0.000278278,0.000278278,0.000278278
16,3393.21,1.51861,2.44229,1.7147,0.39525,0.19269,0.14508,0.06916,1.6282,2.18549,1.8851,0.000270655,0.000270655,0.000270655
17,3603.2,1.51335,2.39139,1.6957,0.41335,0.18045,0.1423,0.06769,1.61342,2.18087,1.89468,0.000263032,0.000263032,0.000263032
18,3813.25,1.51011,2.37811,1.7013,0.38071,0.19212,0.15106,0.07298,1.62658,2.1855,1.88808,0.000255409,0.000255409,0.000255409
19,4020.96,1.50015,2.33648,1.69576,0.34225,0.19616,0.15486,0.07364,1.61367,2.11816,1.88406,0.000247786,0.000247786,0.000247786
20,4229.8,1.48447,2.31039,1.68677,0.33803,0.20259,0.16948,0.08089,1.59627,2.10853,1.89338,0.000240163,0.000240163,0.000240163
21,4439.45,1.48369,2.29635,1.68198,0.39798,0.19581,0.16463,0.07995,1.60571,2.12299,1.88593,0.00023254,0.00023254,0.00023254
22,4646.91,1.48599,2.26174,1.68608,0.39181,0.20136,0.16759,0.08035,1.59761,2.08063,1.88375,0.000224917,0.000224917,0.000224917
23,4855.86,1.47394,2.27486,1.67657,0.35076,0.19585,0.16438,0.07778,1.59631,2.06914,1.86523,0.000217294,0.000217294,0.000217294
24,5061.78,1.4719,2.25591,1.66191,0.37036,0.19658,0.16977,0.07987,1.61744,2.11539,1.88911,0.000209671,0.000209671,0.000209671
25,5270.06,1.46883,2.2085,1.65993,0.38519,0.19843,0.17473,0.08268,1.59271,2.06467,1.84717,0.000202048,0.000202048,0.000202048
26,5480.49,1.46779,2.18123,1.66373,0.38072,0.21102,0.17392,0.08362,1.59139,2.02189,1.85548,0.000194425,0.000194425,0.000194425
27,5692.14,1.46066,2.21198,1.65547,0.38575,0.21059,0.17353,0.0827,1.59208,2.06037,1.86098,0.000186802,0.000186802,0.000186802
28,5905.18,1.45599,2.1425,1.6489,0.33558,0.20851,0.17661,0.08315,1.59128,2.04595,1.87422,0.000179179,0.000179179,0.000179179
29,6115.08,1.44913,2.16597,1.64543,0.3916,0.20349,0.18043,0.08676,1.58749,2.02818,1.86006,0.000171556,0.000171556,0.000171556
30,6324.28,1.45129,2.1843,1.64064,0.39351,0.20904,0.18413,0.08898,1.59006,2.01757,1.85102,0.000163933,0.000163933,0.000163933
31,6532.9,1.44822,2.15471,1.63765,0.37849,0.21233,0.1854,0.08812,1.58722,2.003,1.8538,0.00015631,0.00015631,0.00015631
32,6741.64,1.44124,2.10315,1.63323,0.38567,0.20621,0.1846,0.0884,1.59167,2.00833,1.85273,0.000148687,0.000148687,0.000148687
33,6951.24,1.4302,2.10408,1.62315,0.3795,0.21524,0.18475,0.08881,1.59201,2.00639,1.85798,0.000141064,0.000141064,0.000141064
34,7157.11,1.43972,2.09242,1.63126,0.39802,0.21536,0.18844,0.09253,1.58089,1.98381,1.85948,0.000133441,0.000133441,0.000133441
35,7361.49,1.42492,2.05069,1.62726,0.42967,0.216,0.18839,0.09151,1.58065,1.98475,1.83929,0.000125818,0.000125818,0.000125818
36,7566.56,1.417,2.0392,1.62162,0.43059,0.22422,0.1911,0.09274,1.58369,1.97392,1.84873,0.000118195,0.000118195,0.000118195
37,7772.9,1.42285,2.03966,1.61403,0.44774,0.21866,0.19348,0.09434,1.57923,1.98522,1.84759,0.000110572,0.000110572,0.000110572
38,7980.26,1.41469,2.0267,1.6156,0.4404,0.21761,0.19031,0.09246,1.57247,1.98351,1.84744,0.000102949,0.000102949,0.000102949
39,8186.62,1.40636,1.99568,1.60453,0.44233,0.21521,0.19171,0.09258,1.5863,1.98092,1.85399,9.5326e-05,9.5326e-05,9.5326e-05
40,8391.02,1.41087,2.02048,1.61535,0.44575,0.21965,0.19429,0.09449,1.5793,1.98323,1.84972,8.7703e-05,8.7703e-05,8.7703e-05
41,8584.35,1.34475,1.96283,1.59211,0.44293,0.2205,0.19282,0.09396,1.58665,2.01021,1.85221,8.008e-05,8.008e-05,8.008e-05
42,8776.39,1.32944,1.92818,1.56765,0.39753,0.22956,0.19467,0.0946,1.58818,2.01676,1.84899,7.2457e-05,7.2457e-05,7.2457e-05
43,8966.96,1.31886,1.83885,1.56567,0.44184,0.22732,0.1953,0.09533,1.58148,2.00232,1.84154,6.4834e-05,6.4834e-05,6.4834e-05
44,9160.66,1.33448,1.89989,1.59046,0.43716,0.23038,0.19597,0.09546,1.57837,1.98799,1.84698,5.7211e-05,5.7211e-05,5.7211e-05
45,9353.37,1.30058,1.79192,1.54662,0.39946,0.22758,0.19473,0.09574,1.58582,2.00092,1.8564,4.9588e-05,4.9588e-05,4.9588e-05
46,9548.87,1.31541,1.79867,1.57531,0.43326,0.22898,0.1942,0.09484,1.57874,1.98833,1.85145,4.1965e-05,4.1965e-05,4.1965e-05
47,9742.66,1.2858,1.77412,1.54175,0.42858,0.23049,0.19392,0.09465,1.58294,1.99394,1.85344,3.4342e-05,3.4342e-05,3.4342e-05
48,9936.27,1.28829,1.77441,1.5382,0.43826,0.2232,0.19505,0.09479,1.58472,1.99841,1.85338,2.6719e-05,2.6719e-05,2.6719e-05
49,10127.8,1.30517,1.75129,1.55377,0.43992,0.22888,0.19905,0.09618,1.58131,1.98451,1.84781,1.9096e-05,1.9096e-05,1.9096e-05
50,10319.2,1.29643,1.74627,1.5583,0.43469,0.22689,0.19611,0.09515,1.58244,1.98564,1.8514,1.1473e-05,1.1473e-05,1.1473e-05
