epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,227.395,2.03298,7.75603,2.01551,0.28891,0.06461,0.05451,0.02626,1.90298,2.8857,1.98361,0.000128248,0.000128248,0.000128248
2,442,1.80684,4.58216,1.85156,0.31151,0.07579,0.06308,0.03007,1.87722,2.75442,2.00485,0.000251501,0.000251501,0.000251501
3,649.125,1.79483,3.68476,1.84256,0.42582,0.09628,0.07547,0.03597,1.80909,2.61423,1.98913,0.000369672,0.000369672,0.000369672
4,854.883,1.76839,3.22778,1.81665,0.28031,0.10355,0.07812,0.03739,1.80697,2.56988,1.94559,0.000362131,0.000362131,0.000362131
5,1060.35,1.72807,2.99723,1.77857,0.39558,0.14237,0.09828,0.04652,1.75359,2.52052,1.88963,0.000354508,0.000354508,0.000354508
6,1264.77,1.72045,2.86274,1.77893,0.42198,0.13253,0.10378,0.04966,1.74448,2.40356,1.93268,0.000346885,0.000346885,0.000346885
7,1472.38,1.69744,2.78746,1.75885,0.4077,0.14094,0.10952,0.05167,1.71894,2.31623,1.87737,0.000339262,0.000339262,0.000339262
8,1675.33,1.67631,2.72708,1.74122,0.43697,0.13734,0.11795,0.05478,1.71545,2.34048,1.88298,0.000331639,0.000331639,0.000331639
9,1877.95,1.67111,2.54281,1.73463,0.38757,0.15076,0.12246,0.05831,1.71628,2.31756,1.85436,0.000324016,0.000324016,0.000324016
10,2082.44,1.65696,2.54578,1.72411,0.33394,0.15849,0.12557,0.05664,1.72563,2.26682,1.88763,0.000316393,0.000316393,0.000316393
11,2286.12,1.64445,2.46201,1.70227,0.39532,0.15683,0.12594,0.05914,1.69382,2.26355,1.84618,0.00030877,0.00030877,0.00030877
12,2490.25,1.62577,2.47565,1.69091,0.40232,0.16658,0.14308,0.06581,1.71103,2.27987,1.86949,0.000301147,0.000301147,0.000301147
13,2693.22,1.60957,2.45363,1.67861,0.3302,0.17581,0.14492,0.06753,1.6995,2.22553,1.85217,0.000293524,0.000293524,0.000293524
14,2898.86,1.6109,2.45526,1.68724,0.3224,0.18263,0.13953,0.06387,1.69469,2.20366,1.84675,0.000285901,0.000285901,0.000285901
15,3103.22,1.60796,2.38789,1.66667,0.32246,0.17654,0.13776,0.0637,1.68431,2.16208,1.83512,0.000278278,0.000278278,0.000278278
16,3307.42,1.59952,2.36242,1.67011,0.29246,0.1899,0.14609,0.06816,1.69602,2.16217,1.83486,0.000270655,0.000270655,0.000270655
17,3511.94,1.59048,2.33972,1.64234,0.38865,0.18833,0.15324,0.07216,1.67617,2.12982,1.79929,0.000263032,0.000263032,0.000263032
18,3718.02,1.58554,2.30445,1.65506,0.43737,0.19477,0.16154,0.07531,1.65117,2.15494,1.80616,0.000255409,0.000255409,0.000255409
19,3920.11,1.58204,2.26042,1.64976,0.35402,0.18425,0.15407,0.07233,1.67306,2.09997,1.79224,0.000247786,0.000247786,0.000247786
20,4122.48,1.55784,2.27971,1.63987,0.3135,0.20022,0.167,0.07636,1.64545,2.07521,1.77278,0.000240163,0.000240163,0.000240163
21,4326.04,1.55325,2.2291,1.62735,0.31796,0.19042,0.16358,0.07657,1.65603,2.07622,1.78571,0.00023254,0.00023254,0.00023254
22,4533.61,1.56616,2.22685,1.63985,0.31429,0.1962,0.16969,0.07908,1.64479,2.03763,1.77273,0.000224917,0.000224917,0.000224917
23,4739.12,1.54315,2.19238,1.62192,0.39084,0.19658,0.16863,0.07965,1.64258,2.06319,1.77855,0.000217294,0.000217294,0.000217294
24,4946.34,1.55029,2.19574,1.61919,0.37081,0.19775,0.17642,0.08241,1.63969,2.07484,1.79156,0.000209671,0.000209671,0.000209671
25,5152.07,1.54256,2.13189,1.61231,0.33497,0.19838,0.17562,0.08252,1.64462,2.04737,1.7802,0.000202048,0.000202048,0.000202048
26,5356.14,1.53875,2.13627,1.60708,0.36125,0.20399,0.17464,0.08168,1.63574,2.03047,1.75672,0.000194425,0.000194425,0.000194425
27,5560.37,1.53508,2.15059,1.61062,0.37171,0.21351,0.18014,0.08482,1.63686,2.02771,1.78416,0.000186802,0.000186802,0.000186802
28,5762.67,1.53084,2.12464,1.59737,0.41587,0.22833,0.18815,0.08814,1.63537,1.9975,1.76237,0.000179179,0.000179179,0.000179179
29,5968.42,1.53044,2.11761,1.5962,0.385,0.20955,0.18469,0.08716,1.64505,2.00871,1.76854,0.000171556,0.000171556,0.000171556
30,6176.68,1.52346,2.11646,1.59831,0.38254,0.21787,0.18289,0.08611,1.63505,2.00722,1.77286,0.000163933,0.000163933,0.000163933
31,6377.88,1.52332,2.10438,1.59062,0.3939,0.21767,0.18738,0.08753,1.63433,2.01509,1.76783,0.00015631,0.00015631,0.00015631
32,6580,1.51321,2.07439,1.58588,0.33254,0.22219,0.18738,0.08692,1.63066,1.98306,1.75685,0.000148687,0.000148687,0.000148687
33,6781.86,1.49982,2.07331,1.57233,0.37917,0.20902,0.18427,0.08631,1.62756,1.99967,1.76362,0.000141064,0.000141064,0.000141064
34,6984.91,1.50531,2.05675,1.58534,0.3461,0.21475,0.18845,0.08964,1.62885,1.96464,1.75633,0.000133441,0.000133441,0.000133441
35,7191.56,1.49505,2.03488,1.584,0.3369,0.22391,0.18868,0.08997,1.62568,1.95731,1.75647,0.000125818,0.000125818,0.000125818
36,7395.94,1.48501,2.00014,1.57686,0.34831,0.21765,0.19543,0.09082,1.62328,1.96505,1.75415,0.000118195,0.000118195,0.000118195
37,7597.55,1.48734,1.9886,1.56531,0.33574,0.22199,0.19265,0.09176,1.61786,1.96342,1.7558,0.000110572,0.000110572,0.000110572
38,7797.99,1.48499,1.98301,1.56423,0.32781,0.22148,0.19269,0.0902,1.63124,1.97841,1.7597,0.000102949,0.000102949,0.000102949
39,7997.79,1.49464,1.95671,1.56561,0.34914,0.2271,0.19504,0.09199,1.6355,1.96666,1.76044,9.5326e-05,9.5326e-05,9.5326e-05
40,8198.74,1.47842,1.96138,1.55951,0.34532,0.22349,0.19771,0.09236,1.62319,1.96141,1.74972,8.7703e-05,8.7703e-05,8.7703e-05
41,8391.27,1.40912,1.93443,1.54716,0.35151,0.2268,0.19523,0.09336,1.6252,1.98862,1.75252,8.008e-05,8.008e-05,8.008e-05
42,8578.61,1.39866,1.86372,1.52655,0.34891,0.22207,0.19802,0.09421,1.62845,1.98919,1.75266,7.2457e-05,7.2457e-05,7.2457e-05
43,8767.46,1.38797,1.82848,1.52887,0.35347,0.22681,0.19999,0.09552,1.62771,1.98471,1.75267,6.4834e-05,6.4834e-05,6.4834e-05
44,8955.84,1.40394,1.84502,1.54732,0.35949,0.22666,0.20166,0.09713,1.62716,1.97173,1.74818,5.7211e-05,5.7211e-05,5.7211e-05
45,9145.55,1.369,1.78681,1.50375,0.34982,0.22646,0.19914,0.09667,1.63072,1.97066,1.75244,4.9588e-05,4.9588e-05,4.9588e-05
46,9334.75,1.38578,1.78149,1.52546,0.35181,0.2262,0.20102,0.09655,1.62993,1.96147,1.75054,4.1965e-05,4.1965e-05,4.1965e-05
47,9525.84,1.35932,1.73811,1.50134,0.35214,0.2305,0.2005,0.09712,1.62644,1.96144,1.74794,3.4342e-05,3.4342e-05,3.4342e-05
48,9714.78,1.36548,1.73442,1.49885,0.34996,0.23465,0.20259,0.09645,1.6273,1.96279,1.74805,2.6719e-05,2.6719e-05,2.6719e-05
49,9904.11,1.37464,1.7477,1.51503,0.3462,0.23374,0.20283,0.0962,1.62849,1.95754,1.75111,1.9096e-05,1.9096e-05,1.9096e-05
50,10093.2,1.37207,1.72696,1.51616,0.34676,0.23727,0.20336,0.09709,1.62723,1.96244,1.75302,1.1473e-05,1.1473e-05,1.1473e-05
