epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.154,2.80281,8.74899,2.70866,0.0005,0.03124,0.00069,0.00023,2.72235,4.38336,3.01368,0.000128248,0.000128248,0.000128248
2,468.628,2.60643,6.40834,2.63816,0.00066,0.05416,0.00081,0.00026,2.68008,4.32943,2.82607,0.000251501,0.000251501,0.000251501
3,675.938,2.56693,5.46059,2.62096,0.09702,0.00123,0.00242,0.00072,2.68703,4.28737,2.84942,0.000369672,0.000369672,0.000369672
4,876.325,2.54162,5.08486,2.60723,0.10083,0.00374,0.00245,0.00094,2.67837,4.1948,2.81479,0.000362131,0.000362131,0.000362131
5,1082.61,2.48681,4.98764,2.57058,0.00241,0.05657,0.00307,0.00116,2.58667,4.34663,2.79225,0.000354508,0.000354508,0.000354508
6,1291.95,2.44779,4.82653,2.54659,0.19125,0.01114,0.0044,0.00174,2.5461,4.11678,2.77423,0.000346885,0.000346885,0.000346885
7,1499.25,2.4079,4.77003,2.53386,0.00289,0.09125,0.00487,0.00186,2.47169,4.1177,2.77394,0.000339262,0.000339262,0.000339262
8,1707.05,2.37574,4.70881,2.52021,0.19987,0.00888,0.00583,0.00232,2.44119,4.08226,2.72037,0.000331639,0.000331639,0.000331639
9,1918.15,2.3861,4.58944,2.53419,0.28035,0.01912,0.00586,0.00234,2.45982,3.97548,2.77823,0.000324016,0.000324016,0.000324016
10,2120.07,2.35058,4.59384,2.51291,0.38153,0.00802,0.00718,0.00307,2.41523,3.94902,2.70927,0.000316393,0.000316393,0.000316393
11,2320.79,2.34294,4.50213,2.50416,0.51832,0.00815,0.00719,0.00303,2.39604,3.92022,2.70637,0.00030877,0.00030877,0.00030877
12,2520.84,2.31702,4.531,2.48003,0.00546,0.08298,0.00739,0.00281,2.41643,4.18188,2.7171,0.000301147,0.000301147,0.000301147
13,2720.49,2.29368,4.56575,2.46484,0.52561,0.00996,0.00945,0.00388,2.40447,3.95376,2.71835,0.000293524,0.000293524,0.000293524
14,2921.88,2.2837,4.493,2.45378,0.51981,0.01038,0.00826,0.00332,2.40425,3.89183,2.71148,0.000285901,0.000285901,0.000285901
15,3123.52,2.28388,4.43461,2.45642,0.5616,0.0142,0.00911,0.00369,2.36628,3.92888,2.6999,0.000278278,0.000278278,0.000278278
16,3325.81,2.28784,4.42151,2.45174,0.56693,0.01269,0.01042,0.00434,2.37093,3.83851,2.66139,0.000270655,0.000270655,0.000270655
17,3527.73,2.26405,4.41073,2.43306,0.61185,0.01257,0.01016,0.00416,2.37171,3.89611,2.69757,0.000263032,0.000263032,0.000263032
18,3729.32,2.25026,4.38032,2.43458,0.57033,0.01442,0.01269,0.00531,2.335,3.80218,2.63599,0.000255409,0.000255409,0.000255409
19,3931.57,2.25163,4.32455,2.42439,0.61708,0.01292,0.01179,0.00507,2.33128,3.82682,2.63696,0.000247786,0.000247786,0.000247786
20,4133.17,2.22576,4.35807,2.41967,0.61249,0.01772,0.0132,0.00551,2.31501,3.73591,2.65589,0.000240163,0.000240163,0.000240163
21,4334.74,2.22865,4.32769,2.41816,0.61041,0.01785,0.01337,0.00559,2.32045,3.75917,2.62364,0.00023254,0.00023254,0.00023254
22,4536.01,2.23439,4.27343,2.42025,0.65816,0.01536,0.01317,0.00544,2.28874,3.64809,2.6026,0.000224917,0.000224917,0.000224917
23,4738.05,2.22116,4.28074,2.40584,0.61098,0.01611,0.013,0.00526,2.27886,3.7335,2.61346,0.000217294,0.000217294,0.000217294
24,4942.31,2.20848,4.25061,2.40037,0.65767,0.01837,0.01378,0.0056,2.28751,3.6838,2.6207,0.000209671,0.000209671,0.000209671
25,5145.5,2.18835,4.20198,2.38465,0.657,0.01753,0.01308,0.0056,2.28708,3.72752,2.63528,0.000202048,0.000202048,0.000202048
26,5346.83,2.20621,4.19723,2.39084,0.65847,0.02005,0.01605,0.00654,2.30165,3.71825,2.6161,0.000194425,0.000194425,0.000194425
27,5547.21,2.19134,4.21984,2.38131,0.66073,0.01965,0.0169,0.00714,2.26804,3.63994,2.5791,0.000186802,0.000186802,0.000186802
28,5747.48,2.19361,4.17461,2.37991,0.64046,0.01795,0.01688,0.00713,2.28083,3.641,2.58998,0.000179179,0.000179179,0.000179179
29,5952.4,2.18637,4.21753,2.37009,0.66122,0.02006,0.01724,0.00713,2.27292,3.63308,2.57932,0.000171556,0.000171556,0.000171556
30,6178.24,2.18361,4.21231,2.36759,0.64132,0.01989,0.01782,0.00739,2.27106,3.60861,2.58248,0.000163933,0.000163933,0.000163933
31,6385.36,2.17983,4.20467,2.36281,0.6391,0.02051,0.017,0.00722,2.23905,3.59369,2.56025,0.00015631,0.00015631,0.00015631
32,6586.25,2.1739,4.16119,2.36129,0.60692,0.02113,0.01769,0.00763,2.25141,3.58458,2.57472,0.000148687,0.000148687,0.000148687
33,6785.74,2.1568,4.13466,2.34444,0.61327,0.02072,0.01676,0.00713,2.23971,3.58876,2.57109,0.000141064,0.000141064,0.000141064
34,6987.27,2.16737,4.13722,2.34929,0.66089,0.02192,0.01934,0.00783,2.23675,3.53551,2.55988,0.000133441,0.000133441,0.000133441
35,7190.52,2.15606,4.10421,2.34226,0.61616,0.02143,0.01846,0.00781,2.2349,3.53943,2.55086,0.000125818,0.000125818,0.000125818
36,7393.26,2.14922,4.07214,2.34286,0.63739,0.02243,0.01861,0.00793,2.23898,3.5577,2.56791,0.000118195,0.000118195,0.000118195
37,7593.57,2.14696,4.06876,2.32738,0.61995,0.02253,0.02015,0.00832,2.22545,3.5319,2.53587,0.000110572,0.000110572,0.000110572
38,7796.36,2.12959,4.05291,2.31904,0.60114,0.02374,0.01931,0.00794,2.22981,3.54855,2.54398,0.000102949,0.000102949,0.000102949
39,8000.53,2.15842,4.03207,2.33359,0.57947,0.02413,0.02062,0.00856,2.24078,3.55275,2.56834,9.5326e-05,9.5326e-05,9.5326e-05
40,8203.24,2.13146,4.07427,2.3274,0.60539,0.02215,0.02036,0.00851,2.23409,3.53796,2.54909,8.7703e-05,8.7703e-05,8.7703e-05
41,8404.16,2.11514,4.22898,2.379,0.58469,0.02296,0.02039,0.00861,2.22809,3.6046,2.53391,8.008e-05,8.008e-05,8.008e-05
42,8602.37,2.08346,4.06022,2.33939,0.54262,0.02345,0.02128,0.00899,2.2345,3.63178,2.52534,7.2457e-05,7.2457e-05,7.2457e-05
43,8799.12,2.0783,4.00107,2.34644,0.59618,0.02423,0.02207,0.00912,2.23695,3.64243,2.5197,6.4834e-05,6.4834e-05,6.4834e-05
44,8996.97,2.10158,3.99316,2.37604,0.59097,0.02418,0.02193,0.00937,2.2291,3.60259,2.51125,5.7211e-05,5.7211e-05,5.7211e-05
45,9195.45,2.06273,3.99177,2.32664,0.54182,0.02576,0.02229,0.0093,2.22544,3.60535,2.51199,4.9588e-05,4.9588e-05,4.9588e-05
46,9393.34,2.07914,3.93452,2.35387,0.54223,0.02604,0.02204,0.00939,2.22316,3.58782,2.51265,4.1965e-05,4.1965e-05,4.1965e-05
47,9591.06,2.05535,3.90953,2.32026,0.54064,0.02492,0.02291,0.00958,2.2207,3.58719,2.50507,3.4342e-05,3.4342e-05,3.4342e-05
48,9788.76,2.04695,3.94665,2.31198,0.53762,0.02583,0.02312,0.00976,2.22086,3.59706,2.50682,2.6719e-05,2.6719e-05,2.6719e-05
49,9985.34,2.06954,3.90506,2.34376,0.54021,0.02646,0.02445,0.01007,2.22104,3.57361,2.5046,1.9096e-05,1.9096e-05,1.9096e-05
50,10182.6,2.0768,3.92168,2.3471,0.54014,0.02672,0.02424,0.00998,2.21914,3.5495,2.50216,1.1473e-05,1.1473e-05,1.1473e-05
