epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.766,2.04801,7.8444,2.03866,0.30005,0.06054,0.05427,0.02623,1.91011,2.89978,2.06506,0.000128248,0.000128248,0.000128248
2,442.379,1.81186,4.71098,1.85547,0.31552,0.09715,0.0713,0.03448,1.82706,2.59813,2.01557,0.000251501,0.000251501,0.000251501
3,655.308,1.798,3.72584,1.84421,0.42975,0.07789,0.07527,0.03389,1.82896,2.67684,2.04137,0.000369672,0.000369672,0.000369672
4,866.797,1.76834,3.23997,1.81351,0.40047,0.10262,0.08513,0.04111,1.77843,2.63409,1.93284,0.000362131,0.000362131,0.000362131
5,1078.8,1.73274,3.0226,1.79439,0.37854,0.14072,0.09292,0.04382,1.77856,2.69388,1.97203,0.000354508,0.000354508,0.000354508
6,1287.79,1.70701,2.84878,1.77665,0.37797,0.13857,0.10623,0.04975,1.71942,2.34402,1.92579,0.000346885,0.000346885,0.000346885
7,1496.59,1.68924,2.78523,1.75356,0.38937,0.1322,0.10723,0.05061,1.73013,2.33922,1.88838,0.000339262,0.000339262,0.000339262
8,1706.6,1.66697,2.71143,1.73843,0.39828,0.1312,0.11032,0.05234,1.72851,2.40783,1.89999,0.000331639,0.000331639,0.000331639
9,1916.06,1.6674,2.55641,1.74132,0.38744,0.1445,0.11684,0.05477,1.70763,2.33578,1.8746,0.000324016,0.000324016,0.000324016
10,2124.85,1.64959,2.54152,1.71978,0.39262,0.15248,0.1257,0.05957,1.7169,2.23862,1.86637,0.000316393,0.000316393,0.000316393
11,2333.19,1.64406,2.45867,1.70904,0.37182,0.17072,0.13043,0.06092,1.69564,2.23518,1.84997,0.00030877,0.00030877,0.00030877
12,2541.18,1.62013,2.45504,1.69544,0.37659,0.15203,0.13321,0.06245,1.68843,2.24742,1.86645,0.000301147,0.000301147,0.000301147
13,2748.41,1.6094,2.44911,1.68474,0.39871,0.17307,0.13826,0.06442,1.69034,2.23685,1.84246,0.000293524,0.000293524,0.000293524
14,2953.5,1.61441,2.45366,1.69512,0.409,0.17343,0.14644,0.06775,1.68177,2.19004,1.86228,0.000285901,0.000285901,0.000285901
15,3162.12,1.6022,2.36593,1.6692,0.41741,0.17945,0.14372,0.06827,1.67114,2.1507,1.82986,0.000278278,0.000278278,0.000278278
16,3372.02,1.59941,2.35709,1.67261,0.35834,0.1847,0.13523,0.06242,1.68507,2.21834,1.87588,0.000270655,0.000270655,0.000270655
17,3580.46,1.59264,2.33805,1.64969,0.38629,0.1846,0.14396,0.06759,1.67047,2.16156,1.81052,0.000263032,0.000263032,0.000263032
18,3788.22,1.58196,2.29004,1.66073,0.41209,0.18783,0.15383,0.07235,1.66224,2.15251,1.81713,0.000255409,0.000255409,0.000255409
19,3993.67,1.57917,2.26033,1.657,0.36503,0.1885,0.1522,0.07268,1.67502,2.09875,1.82701,0.000247786,0.000247786,0.000247786
20,4198.13,1.55934,2.25079,1.64059,0.35645,0.19369,0.16466,0.07693,1.66244,2.07466,1.80815,0.000240163,0.000240163,0.000240163
21,4409.04,1.55424,2.21524,1.63584,0.38215,0.20079,0.16261,0.07596,1.6524,2.08427,1.79198,0.00023254,0.00023254,0.00023254
22,4620.44,1.56503,2.21823,1.64973,0.41458,0.20972,0.17488,0.08246,1.64403,2.04784,1.79253,0.000224917,0.000224917,0.000224917
23,4826.01,1.54474,2.18646,1.62988,0.37684,0.20194,0.16913,0.07884,1.64309,2.05478,1.80684,0.000217294,0.000217294,0.000217294
24,5033.27,1.55134,2.17086,1.6281,0.37227,0.20391,0.17423,0.0813,1.63665,2.07507,1.79225,0.000209671,0.000209671,0.000209671
25,5238.88,1.54285,2.14519,1.62135,0.39058,0.2101,0.18023,0.08333,1.63936,2.02231,1.77706,0.000202048,0.000202048,0.000202048
26,5445.61,1.53571,2.12434,1.61454,0.38111,0.20749,0.18295,0.08646,1.6369,2.02856,1.7913,0.000194425,0.000194425,0.000194425
27,5650.85,1.53591,2.14082,1.61899,0.38049,0.21406,0.18648,0.08731,1.63604,2.02488,1.78984,0.000186802,0.000186802,0.000186802
28,5856.39,1.53923,2.11912,1.61407,0.38607,0.21507,0.18687,0.08639,1.63132,2.01214,1.78473,0.000179179,0.000179179,0.000179179
