epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.651,2.04796,7.7924,2.03182,0.34877,0.04486,0.05442,0.02551,1.87943,3.07097,1.98872,0.000128248,0.000128248,0.000128248
2,437.094,1.81325,4.61227,1.85294,0.29946,0.07323,0.06947,0.03336,1.85866,2.7388,1.97136,0.000251501,0.000251501,0.000251501
3,650.954,1.81004,3.74255,1.85166,0.35427,0.07843,0.08021,0.03795,1.8307,2.61659,1.9782,0.000369672,0.000369672,0.000369672
4,862.744,1.76625,3.26473,1.82253,0.28293,0.10174,0.08817,0.04271,1.76994,2.56299,1.93862,0.000362131,0.000362131,0.000362131
5,1074.36,1.73802,3.05653,1.78648,0.38473,0.13315,0.10418,0.05033,1.75019,2.40568,1.89629,0.000354508,0.000354508,0.000354508
6,1284.75,1.73115,2.9013,1.79011,0.37949,0.14502,0.11084,0.05224,1.71429,2.3675,1.91032,0.000346885,0.000346885,0.000346885
7,1494.93,1.70495,2.84334,1.75852,0.40142,0.13328,0.10938,0.05129,1.69649,2.28976,1.8506,0.000339262,0.000339262,0.000339262
8,1706.95,1.67765,2.73251,1.74334,0.39569,0.13714,0.11612,0.05531,1.70514,2.34478,1.86498,0.000331639,0.000331639,0.000331639
9,1919.05,1.68164,2.59086,1.74523,0.40221,0.13921,0.11224,0.05296,1.66628,2.35481,1.82397,0.000324016,0.000324016,0.000324016
10,2132.48,1.66685,2.60643,1.73863,0.38217,0.15819,0.12997,0.06022,1.69991,2.2091,1.84464,0.000316393,0.000316393,0.000316393
11,2347.83,1.65512,2.50155,1.72197,0.36784,0.16376,0.13467,0.06257,1.67002,2.16468,1.81902,0.00030877,0.00030877,0.00030877
12,2562.74,1.63075,2.50184,1.6994,0.37504,0.15826,0.14055,0.06483,1.70619,2.25248,1.8521,0.000301147,0.000301147,0.000301147
13,2775.9,1.62259,2.48942,1.68874,0.32644,0.16439,0.13333,0.06164,1.7088,2.26868,1.85406,0.000293524,0.000293524,0.000293524
14,2989.16,1.62191,2.46366,1.70011,0.32482,0.18503,0.14234,0.06663,1.66345,2.19744,1.82687,0.000285901,0.000285901,0.000285901
