epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.7,2.04081,7.69192,2.02793,0.28439,0.0488,0.0532,0.02624,1.87562,2.95184,1.94666,0.000128248,0.000128248,0.000128248
2,433.48,1.80056,4.534,1.84895,0.28332,0.06332,0.06093,0.02951,1.85268,2.80296,1.96909,0.000251501,0.000251501,0.000251501
3,647.35,1.79306,3.63755,1.83485,0.27299,0.09594,0.08209,0.03849,1.83432,2.57723,2.01993,0.000369672,0.000369672,0.000369672
4,861.79,1.76221,3.22385,1.8091,0.3026,0.1239,0.0886,0.04252,1.78618,2.64978,1.94628,0.000362131,0.000362131,0.000362131
5,1072.5,1.72947,3.02232,1.78744,0.35839,0.14534,0.09889,0.0478,1.74926,2.607,1.91801,0.000354508,0.000354508,0.000354508
6,1282.04,1.71859,2.86803,1.79206,0.38566,0.14005,0.10832,0.05213,1.71694,2.31087,1.92075,0.000346885,0.000346885,0.000346885
7,1495.98,1.69569,2.79605,1.75966,0.36296,0.14566,0.11018,0.05333,1.71422,2.33849,1.86534,0.000339262,0.000339262,0.000339262
8,1704.29,1.67117,2.68163,1.74085,0.43568,0.14312,0.11991,0.05571,1.71948,2.37223,1.88402,0.000331639,0.000331639,0.000331639
9,1913.53,1.66619,2.53742,1.73419,0.39749,0.14658,0.12407,0.05921,1.67662,2.23123,1.82382,0.000324016,0.000324016,0.000324016
10,2121.24,1.65221,2.53718,1.72936,0.40102,0.15588,0.12782,0.05832,1.71031,2.27344,1.90408,0.000316393,0.000316393,0.000316393
11,2328.5,1.64411,2.45116,1.70553,0.3862,0.16743,0.13421,0.06395,1.69172,2.20053,1.8457,0.00030877,0.00030877,0.00030877
12,2534.73,1.62785,2.43778,1.69719,0.35998,0.15956,0.13999,0.0641,1.72465,2.30801,1.85231,0.000301147,0.000301147,0.000301147
13,2744.13,1.61823,2.44308,1.68605,0.35369,0.17139,0.13652,0.06458,1.69537,2.23409,1.8346,0.000293524,0.000293524,0.000293524
14,2951.62,1.61199,2.43563,1.6932,0.34527,0.19722,0.14797,0.07018,1.67209,2.13761,1.84456,0.000285901,0.000285901,0.000285901
15,3158.32,1.60668,2.36714,1.67524,0.39134,0.18676,0.15286,0.07134,1.64757,2.10871,1.80917,0.000278278,0.000278278,0.000278278
16,3367.02,1.59305,2.33089,1.67219,0.33979,0.20362,0.14982,0.07142,1.65951,2.10601,1.81326,0.000270655,0.000270655,0.000270655
17,3575,1.58876,2.32465,1.64687,0.3279,0.19861,0.15647,0.07255,1.66662,2.12011,1.80304,0.000263032,0.000263032,0.000263032
18,3781.04,1.58942,2.29198,1.66171,0.3699,0.19869,0.167,0.08016,1.64284,2.08658,1.79293,0.000255409,0.000255409,0.000255409
19,3991.09,1.57963,2.25933,1.65846,0.38086,0.20291,0.16815,0.07832,1.64598,2.07442,1.81006,0.000247786,0.000247786,0.000247786
20,4197.34,1.55834,2.23685,1.64409,0.38346,0.21217,0.17573,0.08364,1.64357,2.04502,1.77485,0.000240163,0.000240163,0.000240163
21,4404.71,1.55657,2.19883,1.63479,0.36542,0.21505,0.17398,0.0818,1.63618,2.0226,1.7755,0.00023254,0.00023254,0.00023254
22,4608.81,1.5635,2.20505,1.64655,0.4098,0.20745,0.1794,0.08436,1.62677,2.0034,1.76563,0.000224917,0.000224917,0.000224917
23,4814.31,1.54916,2.1878,1.63272,0.32686,0.21777,0.17837,0.08355,1.6299,2.00292,1.78527,0.000217294,0.000217294,0.000217294
24,5023.02,1.55037,2.16783,1.62953,0.37038,0.21148,0.17666,0.08327,1.64421,2.0447,1.79921,0.000209671,0.000209671,0.000209671
25,5230.31,1.54096,2.12414,1.62362,0.38154,0.21445,0.17525,0.0834,1.63996,2.0026,1.77841,0.000202048,0.000202048,0.000202048
26,5435.48,1.53725,2.12322,1.61765,0.42992,0.22689,0.18841,0.08865,1.62173,1.9661,1.76986,0.000194425,0.000194425,0.000194425
27,5642.3,1.53085,2.12714,1.61445,0.33244,0.21407,0.1861,0.08747,1.62262,1.98782,1.78374,0.000186802,0.000186802,0.000186802
28,5849.44,1.53203,2.08715,1.60641,0.36042,0.22506,0.19235,0.08908,1.62813,1.98377,1.76225,0.000179179,0.000179179,0.000179179
29,6055.94,1.52874,2.10322,1.5993,0.38137,0.2252,0.19207,0.09131,1.62737,1.96256,1.76097,0.000171556,0.000171556,0.000171556
30,6262.97,1.52575,2.09312,1.60578,0.3884,0.2234,0.19168,0.09096,1.61918,1.96135,1.76886,0.000163933,0.000163933,0.000163933
31,6467.99,1.51811,2.08612,1.59542,0.43981,0.21737,0.19186,0.0913,1.61717,1.9518,1.76939,0.00015631,0.00015631,0.00015631
32,6672.97,1.51588,2.06643,1.5974,0.34678,0.22279,0.19552,0.0924,1.6163,1.92689,1.76237,0.000148687,0.000148687,0.000148687
33,6883.28,1.49941,2.0435,1.57558,0.39306,0.23365,0.19896,0.09618,1.62019,1.92643,1.75635,0.000141064,0.000141064,0.000141064
34,7088.24,1.50973,2.03278,1.59385,0.4405,0.22342,0.19533,0.09395,1.61855,1.92991,1.75974,0.000133441,0.000133441,0.000133441
35,7294.46,1.49772,2.01888,1.58955,0.44372,0.23097,0.20471,0.09714,1.61635,1.92109,1.76639,0.000125818,0.000125818,0.000125818
36,7499.36,1.48515,1.97784,1.58203,0.37833,0.23433,0.19972,0.09605,1.61229,1.90772,1.764,0.000118195,0.000118195,0.000118195
37,7706.06,1.4871,1.96826,1.57665,0.39001,0.24616,0.2063,0.09892,1.60667,1.90051,1.76262,0.000110572,0.000110572,0.000110572
